Учебный год,Область,Район,Школа,Класс,Ученик,Цель обучения,Критерий оценивания,Дескриптор,СОЧ (%),МОДО (%),Отклонение,Аналитика,Обратная связь
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Тыныбаева Мадина,3.1.2.1,Понимание и применение знаний,Классифицирует животных,52,66,-14,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Тыныбаева Мадина,3.2.1.2,Применение наблюдений,Объясняет свойства воды,57,76,-19,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Тыныбаева Мадина,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,48,52,-4,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Тыныбаева Мадина,3.4.3.1,Знание структуры организма,Называет органы дыхания,49,45,4,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Тыныбаева Мадина,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,69,80,-11,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жагпарова Сая,3.1.2.1,Понимание и применение знаний,Классифицирует животных,47,64,-17,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жагпарова Сая,3.2.1.2,Применение наблюдений,Объясняет свойства воды,78,85,-7,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жагпарова Сая,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,73,66,7,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жагпарова Сая,3.4.3.1,Знание структуры организма,Называет органы дыхания,74,44,30,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жагпарова Сая,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,64,48,16,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жумажанова Сания,3.1.2.1,Понимание и применение знаний,Классифицирует животных,56,53,3,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жумажанова Сания,3.2.1.2,Применение наблюдений,Объясняет свойства воды,53,54,-1,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жумажанова Сания,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,73,84,-11,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жумажанова Сания,3.4.3.1,Знание структуры организма,Называет органы дыхания,81,61,20,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Жумажанова Сания,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,59,84,-25,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Мусабаева Мерей,3.1.2.1,Понимание и применение знаний,Классифицирует животных,49,63,-14,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Мусабаева Мерей,3.2.1.2,Применение наблюдений,Объясняет свойства воды,54,47,7,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Мусабаева Мерей,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,50,49,1,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Мусабаева Мерей,3.4.3.1,Знание структуры организма,Называет органы дыхания,83,36,47,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Мусабаева Мерей,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,78,78,0,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 1,3.1.2.1,Понимание и применение знаний,Классифицирует животных,69,89,-20,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 1,3.2.1.2,Применение наблюдений,Объясняет свойства воды,68,35,33,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
